Descrição;Média Mensal
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Desenvolvimento e licenciamento de programas de computador customizáveis;1
Desenvolvimento e licenciamento de programas de computador customizáveis;1
Comércio varejista de artigos de joalheria;1.5
Coleta de resíduos perigosos;3
Transporte rodoviário de produtos perigosos;1
Transporte rodoviário de produtos perigosos;1
Comércio varejista de carnes - açougues;6.333333333
Organização logística do transporte de carga;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Gestão e administração da propriedade imobiliária;6.5
Demolição de edifícios e outras estruturas;1
Lanchonetes, casas de chá, de sucos e similares;1
Incorporação de empreendimentos imobiliários;1
Restaurantes e similares;1.6
Serviços combinados de escritório e apoio administrativo;1
Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;2
Carga e descarga;1
Condomínios prediais;1
Comércio varejista de carnes - açougues;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Serviços de comunicação multimídia - SCM;1
Locação de mão-de-obra temporária;14.5
Instalação e manutenção elétrica;1
Fabricação de produtos de padaria e confeitaria com predominância de produção própria;1
Instituições de longa permanência para idosos;1
Comércio varejista de artigos do vestuário e acessórios;1
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;1
Restaurantes e similares;1
Atividades de contabilidade;1
Serviços combinados para apoio a edifícios, exceto condomínios prediais;2.75
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.166666667
Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;1.2
Fabricação de adubos e fertilizantes, exceto organo-minerais;1
Limpeza em prédios e em domicílios;1.375
Outras atividades associativas profissionais;1
Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;1
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;1
Preparação de subprodutos do abate;1.333333333
Comércio atacadista de bebidas não especificadas anteriormente;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.5
Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos;2
Educação infantil - pré-escola;2.8
Fabricação de outros produtos alimentícios não especificados anteriormente;1
Fornecimento de alimentos preparados preponderantemente para consumo domiciliar;1
Comércio varejista de carnes - açougues;1
Comércio varejista especializado de equipamentos e suprimentos de informática;1.4
